origin,ori_ts,destination,des_ts,cost,k
8.0,1528288336.0,1.0,1528288698.0,0.4114156104937117,1.0
16.0,1528288698.0,7.0,1528289783.0,0.017113102652345273,1.0
4.0,1528288698.0,8.0,1528288336.0,0.31432511217982106,2.0
1.0,1528289060.0,7.0,1528289783.0,0.15036714691445435,1.0
11.0,1528289060.0,1.0,1528289783.0,0.0853774241293375,1.0
11.0,1528289060.0,8.0,1528289783.0,0.31919942372067395,1.0
11.0,1528289060.0,15.0,1528290145.0,0.015298718436239886,2.0
14.0,1528289060.0,8.0,1528289783.0,0.01950413761117026,1.0
4.0,1528289060.0,15.0,1528289422.0,0.10143373446125735,1.0
6.0,1528289060.0,15.0,1528289422.0,0.46484299350863423,1.0
6.0,1528289060.0,11.0,1528289783.0,0.2042475351484854,1.0
10.0,1528289422.0,6.0,1528290507.0,0.19125127496824243,1.0
14.0,1528289422.0,1.0,1528289783.0,0.17729932101462975,1.0
14.0,1528289422.0,7.0,1528289783.0,0.4783546061577277,1.0
5.0,1528289422.0,1.0,1528289783.0,0.10320632708692408,1.0
5.0,1528289422.0,15.0,1528290145.0,0.17807893291793692,1.0
8.0,1528289422.0,1.0,1528289783.0,0.41304153422162965,1.0
8.0,1528289783.0,5.0,1528289422.0,0.017250998934845253,1.0
16.0,1528290145.0,12.0,1528291231.0,0.314452799507113,1.0
16.0,1528290145.0,10.0,1528291593.0,0.008399839481300034,1.0
2.0,1528290145.0,13.0,1528290869.0,0.26910104476150387,1.0
5.0,1528290145.0,9.0,1528289783.0,0.3169824207878853,1.0
6.0,1528290145.0,16.0,1528291231.0,0.04974655533126313,1.0
1.0,1528290507.0,15.0,1528290869.0,0.12227529520160998,1.0
1.0,1528290507.0,10.0,1528291231.0,0.09897449286273739,1.0
1.0,1528290507.0,11.0,1528291231.0,0.046610298124919666,1.0
1.0,1528290507.0,12.0,1528291231.0,0.07495662262063262,1.0
1.0,1528290507.0,8.0,1528291231.0,0.07444541401765413,1.0
